key	zh_hant	zh_hans	ja	en
title_new_city	建立新城市	建立新城市	新しい都市	START NEW CITY
title_load_city	載入城市	载入城市	都市をロード	LOAD A CITY
title_scenario	選擇劇本	选择剧本	シナリオ選択	SELECT SCENARIO
title_terrain	地形編輯器	地形编辑器	地形エディタ	TERRAIN EDITOR
funds	資金 $%s	资金 $%s	資金 $%s	Funds: $%s
demand	需求	需求	需要	Demand
demand_r	住	住	住	R
demand_c	商	商	商	C
demand_i	工	工	工	I
zoom	縮小 1／%d	缩小 1／%d	縮小 1／%d	Zoom 1/%d
on	開	开	オン	On
off	關	关	オフ	Off
budget_title	%d 年度預算	%d 年度预算	%d年度予算	%d Fiscal Budget
tax_rev	稅收　$%s	税收　$%s	税収　$%s	Taxes collected  $%s
budget_hint	上下鍵選項目，左右鍵調比例	上下键选项目，左右键调比例	上下キーで項目、左右キーで割合	Up/Down to pick, Left/Right to adjust
budget_ok	就照這些數字	就照这些数字	この数字でいく	Go with these figures
cash_flow	現金流量	现金流量	収支	Cash Flow
prev_fund	上年度結存	上年度结存	前年度残高	Previous Fund
cur_funds	目前資金	目前资金	現在の資金	Current Funds
col_req	維護\n需求	维护\n需求	維持\n必要額	Amount\nRequested
col_alloc	實際\n撥給	实际\n拨给	実際\n配分	Amount\nAllocated
col_pct	編列\n比例	编列\n比例	配分\n割合	Funding\nLevel
col_item	項目	项目	項目	Item
eval_public	公眾意見	公众意见	世論	Public Opinion
eval_stats	統計數據	统计数据	統計	Statistics
eval_title	%d 年城市評估	%d 年城市评估	%d年 都市評価	%d City Evaluation
eval_mayor	市長做得好嗎？	市长做得好吗？	市長の評価は？	Is the mayor doing a good job?
eval_yesno	是 %d%%　　否 %d%%	是 %d%%　　否 %d%%	はい %d%%　　いいえ %d%%	Yes %d%%   No %d%%
eval_problems	最嚴重的問題是什麼？	最严重的问题是什么？	最も深刻な問題は？	What are the worst problems?
stat_pop	人口總數	人口总数	総人口	Population
stat_migr	遷出入數（去年）	迁出入数（去年）	転入出（前年）	Net Migration
stat_assess	市有財產總數	市有财产总数	市有財産	Assessed Value
stat_class	城市類別	城市类别	都市の規模	City Class
stat_level	遊戲等級	游戏等级	難易度	Game Level
stat_score	整體成績	整体成绩	総合評価	Overall Score
stat_delta	年度成績	年度成绩	前年比	Annual Change
menu_hint_ok	Enter 確定，Esc 取消	Enter 确定，Esc 取消	Enter で決定、Esc で取消	Enter to confirm, Esc to cancel
