key	len	zh_hant	zh_hans	ja
0.0	23	咱們得多蓋幾間屋子	咱们得多盖几间屋子	
0.2	29	咱們得多蓋幾間店面	咱们得多盖几间店面	
0.4	29	咱們得多開幾塊工業地	咱们得多开几块工业地	
0.6	37	咱們這鎮上得多幾條路	咱们这镇上得多几条路	
0.8	36	你這蒸汽火車系統爛透了	你这蒸汽火车系统烂透了	
0.10	30	去挖口井吧，咱們缺水	去挖口井吧，咱们缺水	
0.12	41	這兒要是有個牛仔競技場就好啦	这儿要是有个牛仔竞技场就好啦	
0.14	27	工業需要一座港口	工业需要一座港口	
0.16	30	生意人要一座金礦	生意人要一座金矿	
0.18	37	咱們這鎮上一股臭味！（污染）	咱们这镇上一股臭味！（污染）	
0.20	35	這鎮子對正經人來說不安全	这镇子对正经人来说不安全	
0.22	32	馬那麼多，地方那麼小	马那么多，地方那么小	
0.24	37	市長啊，咱們需要消防隊	市长啊，咱们需要消防队	
0.26	29	市長啊，咱們需要個警長	市长啊，咱们需要个警长	
0.28	33	水源短缺。請查看水路圖	水源短缺。请查看水路图	
0.30	26	減稅，不然就滾出鎮外	减税，不然就滚出镇外	
0.32	42	經費不足，道路年久失修	经费不足，道路年久失修	
0.34	30	消防隊需要經費	消防队需要经费	
0.36	22	警長辦公室需要經費	警长办公室需要经费	
0.38	14	傳出火警！	传出火警！	
0.40	37	有人看見巨型風滾草！！	有人看见巨型风滚草！！	
0.42	38	佩科斯比爾騎著龍捲風來了！	佩科斯比尔骑著龙卷风来了！	
0.44	28	發生強烈地震！！！	发生强烈地震！！！	
0.46	18	有熱氣球墜毀！	有热气球坠毁！	
0.48	19	有船隻失事！	有船只失事！	
0.50	22	有蒸汽火車出軌！	有蒸汽火车出轨！	
0.52	19	有禿鷹摔下來了！	有秃鹰摔下来了！	
0.54	35	牛仔太多，工作太少	牛仔太多，工作太少	
0.56	25	本市已經破產！	本市已经破产！	
0.58	26	夥計，留幾棵樹吧	伙计，留几棵树吧	
0.60	37	市長啊，多弄幾座公園怎麼樣	市长啊，多弄几座公园怎么样	
0.62	19	偵測到爆炸！	侦测到爆炸！	
0.64	22	你付不起	你付不起	
0.66	26	你得先把那塊地犁了	你得先把那块地犁了	
0.68	36	市長啊！咱們這兒有兩千人了	市长啊！咱们这儿有两千人了	
0.70	28	了不得！咱們有一萬人了	了不得！咱们有一万人了	
0.72	39	我的老天，咱們有五萬人了	我的老天，咱们有五万人了	
0.74	38	咱們是一家十萬人的大家庭	咱们是一家十万人的大家庭	
0.76	36	咱們發達了：五十萬人	咱们发达了：五十万人	
0.78	16	水源短缺！	水源短缺！	
0.80	30	這些街道太擠了	这些街道太挤了	
0.82	19	傳出水災！！	传出水灾！！	
0.84	31	水源被下毒了！！！	水源被下毒了！！！	
0.86	27	水面上蓋不了那玩意兒	水面上盖不了那玩意儿	
0.88	23	這兒蓋不了那玩意兒	这儿盖不了那玩意儿	
0.90	17	這兒犁不了	这儿犁不了	
1.0	8	犁：$1	犁：$1	
1.1	9	道路：$10	道路：$10	
1.2	14	水路：$5	水路：$5	
1.3	22	蒸汽火車軌道：$20	蒸汽火车轨道：$20	
1.4	9	公園：$10	公园：$10	
1.5	17	住宅區：$100	住宅区：$100	
1.6	16	商業區：$100	商业区：$100	
1.7	16	工業用地：$100	工业用地：$100	
1.8	13	警長辦公室：$500	警长办公室：$500	
1.9	18	消防隊：$500	消防队：$500	
1.10	12	牛仔競技場：$3000	牛仔竞技场：$3000	
1.11	23	蒸汽抽水機：$5000	蒸汽抽水机：$5000	
1.12	13	港口：$5000	港口：$5000	
1.13	17	金礦：$10000	金矿：$10000	
1.14	18	水車：$3000	水车：$3000	
2.0	176	交通警訊——這鎮上的交通爛透了。\n過個街不撞上馬屁股都難，\n連小娃兒上學都得一路開槍開過去。	交通警讯——这镇上的交通烂透了。\n过个街不撞上马屁股都难，\n连小娃儿上学都得一路开枪开过去。	
