key	len	zh_hant	zh_hans	ja
0.0	30	Mehr 住宅區，bitte	Mehr 住宅区，bitte	
0.2	39	Plus 商業區，s'il vous plaît	Plus 商业区，s'il vous plaît	
0.4	29	Mehr 工業用地，bitte	Mehr 工业用地，bitte	
0.6	28	Plus 道路，s'il vous plaît	Plus 道路，s'il vous plaît	
0.8	23	單軌系統太差了	单轨系统太差了	
0.10	28	Bauen Sie 一座發電廠	Bauen Sie 一座发电厂	
0.12	37	Wir wollen 一座足球場	Wir wollen 一座足球场	
0.14	36	工業需要一座氣墊船港	工业需要一座气垫船港	
0.16	33	商業需要一座太空梭港	商业需要一座太空梭港	
0.18	21	Pollution zehr gross（污染太嚴重）	Pollution zehr gross（污染太严重）	
0.20	22	Mucho crime, mui malo（犯罪太多）	Mucho crime, mui malo（犯罪太多）	
0.22	31	交通經常壅塞	交通经常壅塞	
0.24	34	Nous demandons 一支消防隊	Nous demandons 一支消防队	
0.26	38	市民要求設置歐洲警察局	市民要求设置欧洲警察局	
0.28	36	傳出停電。請查看電力網路圖	传出停电。请查看电力网路图	
0.30	31	市民不滿。稅率太高了	市民不满。税率太高了	
0.32	42	經費不足，道路年久失修	经费不足，道路年久失修	
0.34	30	消防隊需要經費	消防队需要经费	
0.36	34	歐洲警察局需要經費	欧洲警察局需要经费	
0.38	14	傳出火警！	传出火警！	
0.40	28	發現怪獸出沒！！	发现怪兽出没！！	
0.42	18	出現龍捲風！！	出现龙卷风！！	
0.44	28	發生強烈地震！！！	发生强烈地震！！！	
0.46	18	有噴射機墜毀！	有喷射机坠毁！	
0.48	26	傳出氣墊船失事！	传出气垫船失事！	
0.50	25	有單軌列車出軌！	有单轨列车出轨！	
0.52	21	有直昇機墜毀！	有直升机坠毁！	
0.54	26	失業率偏高	失业率偏高	
0.56	25	本市已經破產！	本市已经破产！	
0.58	31	救救樹！救救樹！	救救树！救救树！	
0.60	36	我們想要更多綠地（公園）	我们想要更多绿地（公园）	
0.62	19	偵測到爆炸！	侦测到爆炸！	
0.64	33	資金不足，無法興建	资金不足，无法兴建	
0.66	29	這塊地必須先整平	这块地必须先整平	
0.68	24	La population est 兩千人	La population est 两千人	
0.70	25	La population est 一萬人	La population est 一万人	
0.72	21	La population 五萬人	La population 五万人	
0.74	26	La population est 十萬人	La population est 十万人	
0.76	26	La population est 五十萬人	La population est 五十万人	
0.78	37	電力吃緊，請再蓋一座發電廠	电力吃紧，请再盖一座发电厂	
0.80	23	交通量偏高	交通量偏高	
0.82	19	傳出水災！！	传出水灾！！	
0.84	28	發生生物危害！！！	发生生物危害！！！	
0.86	31	水面上不能興建	水面上不能兴建	
0.88	27	這裡不能興建	这里不能兴建	
0.90	29	那個無法分解	那个无法分解	
1.0	16	分解：$1	分解：$1	
1.1	9	道路：$10	道路：$10	
1.2	15	電力線：$5	电力线：$5	
1.3	13	單軌：$20	单轨：$20	
1.4	9	公園：$10	公园：$10	
1.5	17	住宅區：$100	住宅区：$100	
1.6	16	商業區：$100	商业区：$100	
1.7	16	工業用地：$100	工业用地：$100	
1.8	22	歐洲警察局：$500	欧洲警察局：$500	
1.9	18	消防隊：$500	消防队：$500	
1.10	25	立體足球場：$3000	立体足球场：$3000	
1.11	21	核融合反應爐：$5000	核融合反应炉：$5000	
1.12	22	氣墊船港：$5000	气垫船港：$5000	
1.13	18	太空港：$10000	太空港：$10000	
1.14	26	核分裂發電廠：$3000	核分裂发电厂：$3000	
2.0	203	交通警訊——這座城的交通會出人命。\n通勤族開始玩碰碰車，公路上的槍擊\n正在變成新的運動項目。你最好多蓋\n幾條道路和單軌，不然就去弄一台防\n彈禮車。	交通警讯——这座城的交通会出人命。\n通勤族开始玩碰碰车，公路上的枪击\n正在变成新的运动项目。你最好多盖\n几条道路和单轨，不然就去弄一台防\n弹礼车。	
2.1	217	治安警報——這座城的犯罪集團一定\n把你打點得很好——不然就是你對這\n裡的治安又聾又瞎。你再不把問題壓\n下來，歐洲警察就要宣布戒嚴並把你\n拉下台了。	治安警报——这座城的犯罪集团一定\n把你打点得很好——不然就是你对这\n里的治安又聋又瞎。你再不把问题压\n下来，欧洲警察就要宣布戒严并把你\n拉下台了。	
2.2	174	生物危害——你其中一座發電廠附近\n的基因操作實驗失控了。建議你避開\n那一帶，直到安全為止——大約八千\n年。	生物危害——你其中一座发电厂附近\n的基因操作实验失控了。建议你避开\n那一带，直到安全为止——大约八千\n年。	
2.3	223	　　　你贏了！\n　　Felicitations！\n　Ich gratuliere Sie！\n　　　幹得漂亮！\n你在設計、規劃與管理上的品味、\n技巧與才華，為你贏得了市鑰。\n鞠個躬吧。給自己加個薪。	　　　你赢了！\n　　Felicitations！\n　Ich gratuliere Sie！\n　　　干得漂亮！\n你在设计、规划与管理上的品味、\n技巧与才华，为你赢得了市钥。\n鞠个躬吧。给自己加个薪。	
2.4	228	　　　彈劾通知\n我很難過，但你已經不再是這座城的\n領導者了。事實上，這裡也不歡迎你\n繼續住下去。請聯絡我們的歐洲代理\n商，索取說明書的法文或德文版。	　　　弹劾通知\n我很难过，但你已经不再是这座城的\n领导者了。事实上，这里也不欢迎你\n继续住下去。请联络我们的欧洲代理\n商，索取说明书的法文或德文版。	
2.5	299	怪獸來襲——有人在水裡發現一隻巨\n大、粗魯、吵鬧、沒禮貌的蛛形生物。\n那要嘛是美國觀光客，要嘛是煙霧怪\n獸。牠所到之處一片狼藉。你只能等\n牠離開，然後把小孩的禮儀重新教一\n遍。	怪兽来袭——有人在水里发现一只巨\n大、粗鲁、吵闹、没礼貌的蛛形生物。\n那要嘛是美国观光客，要嘛是烟雾怪\n兽。它所到之处一片狼藉。你只能等\n它离开，然后把小孩的礼仪重新教一\n遍。	
2.6	262	污染警報——本市的污染已經超過歐\n洲模擬污染管理局訂定的上限。你正\n冒著造成嚴重生態後果的風險。要嘛\n把它清乾淨，要嘛在下次選舉失去綠\n黨的選票。	污染警报——本市的污染已经超过欧\n洲模拟污染管理局订定的上限。你正\n冒著造成严重生态后果的风险。要嘛\n把它清干净，要嘛在下次选举失去绿\n党的选票。	
2.7	231	　　　　超級都會\n歐洲雖是個古老的地方，\n你卻蓋出一座優雅的新城。\n有人偏愛傳統，\n卻沒有人嘲笑你——\n因為我們五十萬人就在他們面前。	　　　　超级都会\n欧洲虽是个古老的地方，\n你却盖出一座优雅的新城。\n有人偏爱传统，\n却没有人嘲笑你——\n因为我们五十万人就在他们面前。	
2.8	180	大都會——你的城市已經取得大都會\n的地位與排名，目前人口十萬。\n以你的規劃能力，可以考慮去設計電\n腦遊戲。	大都会——你的城市已经取得大都会\n的地位与排名，目前人口十万。\n以你的规划能力，可以考虑去设计电\n脑游戏。	
2.9	124	首府——你的城市已經成為首府，\n目前人口五萬。你的政治前途一片\n光明。	首府——你的城市已经成为首府，\n目前人口五万。你的政治前途一片\n光明。	
2.10	109	城市——你的城鎮已經長成一座完整\n的城市，目前人口一萬。\n繼續保持！	城市——你的城镇已经长成一座完整\n的城市，目前人口一万。\n继续保持！	
2.11	90	城鎮——恭喜，你的村莊已經升格為\n城鎮，現在有兩千位市民了。	城镇——恭喜，你的村庄已经升格为\n城镇，现在有两千位市民了。	
2.12	312	德特華，2227 年——\n這個犯罪橫行的小鎮，是全歐洲每一\n個重要罪犯的家。正經市民整夜——\n以及整天——把自己鎖在屋裡。\n你以打擊犯罪的政見當選市長。\n你有十年的時間降低犯罪，並重建本\n市的工業基礎。	德特华，2227 年——\n这个犯罪横行的小镇，是全欧洲每一\n个重要罪犯的家。正经市民整夜——\n以及整天——把自己锁在屋里。\n你以打击犯罪的政见当选市长。\n你有十年的时间降低犯罪，并重建本\n市的工业基础。	
